Report Whole Date,Report Date YYYY,Report Date Q,Quarter Year Code Report Date,Quarters Since Close,Years Since Fund Close to Report Date,Fund ID,FundName,Fund Type,investor name,Fund Close Date,Fund Close YYYY,Fund Close Q,Global Region,LP beid,LP Name,FundLPID,Remaining Value,Contributed,Distributed,Fund Initial Amount,Consistency,Comitted
2/28/2009,2009,1,20091,43,11,12774,3i Eurofund II,PE Growth-Expansion ,3i Group,5/1/1998,1998,2,Europe,17941,University of Texas Investment Management Company,15703,759628.83,27905360.56,39931946,724.7435307,0.924528302,28874504.68
11/30/2008,2008,4,20084,42,10,12774,3i Eurofund II,PE Growth-Expansion ,3i Group,5/1/1998,1998,2,Europe,17941,University of Texas Investment Management Company,15703,772609.47,27905360.56,39931946,724.7435307,0.924528302,28876265.53
8/31/2008,2008,3,20083,41,10,12774,3i Eurofund II,PE Growth-Expansion ,3i Group,5/1/1998,1998,2,Europe,17941,University of Texas Investment Management Company,15703,855371,27905361,39931946,724.7435307,0.924528302,29038714
5/31/2008,2008,2,20082,40,10,12774,3i Eurofund II,PE Growth-Expansion ,3i Group,5/1/1998,1998,2,Europe,17941,University of Texas Investment Management Company,15703,958755.48,27905360.56,39931946,724.7435307,0.924528302,29110827.13
2/29/2008,2008,1,20081,39,10,12774,3i Eurofund II,PE Growth-Expansion ,3i Group,5/1/1998,1998,2,Europe,17941,University of Texas Investment Management Company,15703,1926128,27905360.56,39216647,724.7435307,0.924528302,29080155.58
11/30/2007,2007,4,20074,38,9,12774,3i Eurofund II,PE Growth-Expansion ,3i Group,5/1/1998,1998,2,Europe,17941,University of Texas Investment Management Company,15703,2377439.98,27905360.56,38991552,724.7435307,0.924528302,29035397.23
8/31/2007,2007,3,20073,37,9,12774,3i Eurofund II,PE Growth-Expansion ,3i Group,5/1/1998,1998,2,Europe,17941,University of Texas Investment Management Company,15703,1965247.61,27905360.56,38649835,724.7435307,0.924528302,28953210.58
5/31/2007,2007,2,20072,36,9,12774,3i Eurofund II,PE Growth-Expansion ,3i Group,5/1/1998,1998,2,Europe,17941,University of Texas Investment Management Company,15703,3480210.84,27905360.56,37155063,724.7435307,0.924528302,28938787.99
2/28/2007,2007,1,20071,35,9,12774,3i Eurofund II,PE Growth-Expansion ,3i Group,5/1/1998,1998,2,Europe,17941,University of Texas Investment Management Company,15703,5607479.97,27905360.56,36019069,724.7435307,0.924528302,28920409.63
11/30/2006,2006,4,20064,34,8,12774,3i Eurofund II,PE Growth-Expansion ,3i Group,5/1/1998,1998,2,Europe,17941,University of Texas Investment Management Company,15703,8115085.65,27905360.56,33606917,724.7435307,0.924528302,28921556.23
8/31/2006,2006,3,20063,33,8,12774,3i Eurofund II,PE Growth-Expansion ,3i Group,5/1/1998,1998,2,Europe,17941,University of Texas Investment Management Company,15703,7600520.76,27905360.56,33213263,724.7435307,0.924528302,28886380.18
5/31/2006,2006,2,20062,32,8,12774,3i Eurofund II,PE Growth-Expansion ,3i Group,5/1/1998,1998,2,Europe,17941,University of Texas Investment Management Company,15703,8516055.96,27905360.56,32283504,724.7435307,0.924528302,28885929.73
2/28/2006,2006,1,20061,31,8,12774,3i Eurofund II,PE Growth-Expansion ,3i Group,5/1/1998,1998,2,Europe,17941,University of Texas Investment Management Company,15703,8623722.42,27905360.56,30710976,724.7435307,0.924528302,28813284.43
11/30/2005,2005,4,20054,30,7,12774,3i Eurofund II,PE Growth-Expansion ,3i Group,5/1/1998,1998,2,Europe,17941,University of Texas Investment Management Company,15703,8363060.66,27905360.56,30710976,724.7435307,0.924528302,28920286.78
8/31/2005,2005,3,20053,29,7,12774,3i Eurofund II,PE Growth-Expansion ,3i Group,5/1/1998,1998,2,Europe,17941,University of Texas Investment Management Company,15703,8503505.3,27905360.56,29781128,724.7435307,0.924528302,28924463.68
5/31/2005,2005,2,20052,28,7,12774,3i Eurofund II,PE Growth-Expansion ,3i Group,5/1/1998,1998,2,Europe,17941,University of Texas Investment Management Company,15703,11886856.42,27905360.56,26502271,724.7435307,0.924528302,28834742.23
2/28/2005,2005,1,20051,27,7,12774,3i Eurofund II,PE Growth-Expansion ,3i Group,5/1/1998,1998,2,Europe,17941,University of Texas Investment Management Company,15703,14855908.19,27905360.56,24857512,724.7435307,0.924528302,28920286.78
11/30/2004,2004,4,20044,26,6,12774,3i Eurofund II,PE Growth-Expansion ,3i Group,5/1/1998,1998,2,Europe,17941,University of Texas Investment Management Company,15703,14573464.05,27905360.56,23886679,724.7435307,0.924528302,28924463.68
8/31/2004,2004,3,20043,25,6,12774,3i Eurofund II,PE Growth-Expansion ,3i Group,5/1/1998,1998,2,Europe,17941,University of Texas Investment Management Company,15703,13043472.68,27905360.56,23886679,724.7435307,0.924528302,28834742.23
5/31/2004,2004,2,20042,24,6,12774,3i Eurofund II,PE Growth-Expansion ,3i Group,5/1/1998,1998,2,Europe,17941,University of Texas Investment Management Company,15703,13973269.12,27905360.56,23083014,724.7435307,0.924528302,28835151.73
2/29/2004,2004,1,20041,23,6,12774,3i Eurofund II,PE Growth-Expansion ,3i Group,5/1/1998,1998,2,Europe,17941,University of Texas Investment Management Company,15703,17606272.02,27905360.56,20107490,724.7435307,0.924528302,28928537.25
11/30/2003,2003,4,20034,22,5,12774,3i Eurofund II,PE Growth-Expansion ,3i Group,5/1/1998,1998,2,Europe,17941,University of Texas Investment Management Company,15703,17543342.5,27905360.56,16899816,724.7435307,0.924528302,28887792
8/31/2003,2003,3,20033,21,5,12774,3i Eurofund II,PE Growth-Expansion ,3i Group,5/1/1998,1998,2,Europe,17941,University of Texas Investment Management Company,15703,17855834.7,27905360.56,16081287,724.7435307,0.924528302,28804950.15
5/31/2003,2003,2,20032,20,5,12774,3i Eurofund II,PE Growth-Expansion ,3i Group,5/1/1998,1998,2,Europe,17941,University of Texas Investment Management Company,15703,17850477.38,27905360.56,15621491,724.7435307,0.924528302,28870470.15
2/28/2003,2003,1,20031,19,5,12774,3i Eurofund II,PE Growth-Expansion ,3i Group,5/1/1998,1998,2,Europe,17941,University of Texas Investment Management Company,15703,16800879,27905361,14534855,724.7435307,0.924528302,28790413
11/30/2002,2002,4,20024,18,4,12774,3i Eurofund II,PE Growth-Expansion ,3i Group,5/1/1998,1998,2,Europe,17941,University of Texas Investment Management Company,15703,19804157.22,27905360.56,12126535,724.7435307,0.924528302,28708383.95
8/31/2002,2002,3,20023,17,4,12774,3i Eurofund II,PE Growth-Expansion ,3i Group,5/1/1998,1998,2,Europe,17941,University of Texas Investment Management Company,15703,19804157.22,27905360.56,12126535,724.7435307,0.924528302,28708383.95
