Report Whole Date,Report Date YYYY,Report Date Q,Quarter Year Code Report Date,Quarters Since Close,Years Since Fund Close to Report Date,Fund ID,FundName,Fund Type,investor name,Fund Close Date,Fund Close YYYY,Fund Close Q,Global Region,LP beid,LP Name,FundLPID,Remaining Value,Contributed,Distributed,Fund Initial Amount,Consistency,Comitted
5/31/2010,2010,2,20102,57,14,12773,3i UK Investment Partners,Venture Capital,3i Group,1/1/1996,1996,1,Europe,17941,University of Texas Investment Management Company,15702,550406,23451005,30080156,636.869365,0.838709677,24122379
2/28/2010,2010,1,20101,56,14,12773,3i UK Investment Partners,Venture Capital,3i Group,1/1/1996,1996,1,Europe,17941,University of Texas Investment Management Company,15702,1748206,23451005,30080156,636.869365,0.838709677,24156504
11/30/2009,2009,4,20094,55,13,12773,3i UK Investment Partners,Venture Capital,3i Group,1/1/1996,1996,1,Europe,17941,University of Texas Investment Management Company,15702,2096838.52,23451004.62,30080156,636.869365,0.838709677,24111532.41
8/31/2009,2009,3,20093,54,13,12773,3i UK Investment Partners,Venture Capital,3i Group,1/1/1996,1996,1,Europe,17941,University of Texas Investment Management Company,15702,1885268.97,23451004.62,30079038,636.869365,0.838709677,24111532.41
5/31/2009,2009,2,20092,53,13,12773,3i UK Investment Partners,Venture Capital,3i Group,1/1/1996,1996,1,Europe,17941,University of Texas Investment Management Company,15702,1865297,23451005,30079038,636.869365,0.838709677,24301438
2/28/2009,2009,1,20091,52,13,12773,3i UK Investment Partners,Venture Capital,3i Group,1/1/1996,1996,1,Europe,17941,University of Texas Investment Management Company,15702,1933852.48,23451004.62,30031353,636.869365,0.838709677,24111532.41
11/30/2008,2008,4,20084,51,12,12773,3i UK Investment Partners,Venture Capital,3i Group,1/1/1996,1996,1,Europe,17941,University of Texas Investment Management Company,15702,2072988.06,23451004.62,30031353,636.869365,0.838709677,24163085.54
8/31/2008,2008,3,20083,50,12,12773,3i UK Investment Partners,Venture Capital,3i Group,1/1/1996,1996,1,Europe,17941,University of Texas Investment Management Company,15702,2449777,23451005,30031353,636.869365,0.838709677,24301438
5/31/2008,2008,2,20082,49,12,12773,3i UK Investment Partners,Venture Capital,3i Group,1/1/1996,1996,1,Europe,17941,University of Texas Investment Management Company,15702,2661524.62,23451004.62,30031353,636.869365,0.838709677,24379998.66
2/29/2008,2008,1,20081,48,12,12773,3i UK Investment Partners,Venture Capital,3i Group,1/1/1996,1996,1,Europe,17941,University of Texas Investment Management Company,15702,2566709.06,23451004.62,29940741,636.869365,0.838709677,24383338.04
11/30/2007,2007,4,20074,47,11,12773,3i UK Investment Partners,Venture Capital,3i Group,1/1/1996,1996,1,Europe,17941,University of Texas Investment Management Company,15702,2640981.61,23451004.62,29940741,636.869365,0.838709677,24416146.79
8/31/2007,2007,3,20073,46,11,12773,3i UK Investment Partners,Venture Capital,3i Group,1/1/1996,1996,1,Europe,17941,University of Texas Investment Management Company,15702,2630945.32,23451004.62,29940741,636.869365,0.838709677,24397012.41
5/31/2007,2007,2,20072,45,11,12773,3i UK Investment Partners,Venture Capital,3i Group,1/1/1996,1996,1,Europe,17941,University of Texas Investment Management Company,15702,2658447.56,23451004.62,29793956,636.869365,0.838709677,24378804.29
2/28/2007,2007,1,20071,44,11,12773,3i UK Investment Partners,Venture Capital,3i Group,1/1/1996,1996,1,Europe,17941,University of Texas Investment Management Company,15702,2317796.4,23451004.62,29793956,636.869365,0.838709677,24371101.79
11/30/2006,2006,4,20064,43,10,12773,3i UK Investment Partners,Venture Capital,3i Group,1/1/1996,1996,1,Europe,17941,University of Texas Investment Management Company,15702,2346632.03,23451004.62,29793956,636.869365,0.838709677,24372149.91
8/31/2006,2006,3,20063,42,10,12773,3i UK Investment Partners,Venture Capital,3i Group,1/1/1996,1996,1,Europe,17941,University of Texas Investment Management Company,15702,2900702.85,23451004.62,28954550,636.869365,0.838709677,24342168.66
5/31/2006,2006,2,20062,41,10,12773,3i UK Investment Partners,Venture Capital,3i Group,1/1/1996,1996,1,Europe,17941,University of Texas Investment Management Company,15702,4271395.58,23451004.62,27509933,636.869365,0.838709677,24325130.54
2/28/2006,2006,1,20061,40,10,12773,3i UK Investment Partners,Venture Capital,3i Group,1/1/1996,1996,1,Europe,17941,University of Texas Investment Management Company,15702,3402204.47,23451004.62,27471228,636.869365,0.838709677,24268507.41
11/30/2005,2005,4,20054,39,9,12773,3i UK Investment Partners,Venture Capital,3i Group,1/1/1996,1996,1,Europe,17941,University of Texas Investment Management Company,15702,3320009.73,23451004.62,27471228,636.869365,0.838709677,24256661.16
8/31/2005,2005,3,20053,38,9,12773,3i UK Investment Partners,Venture Capital,3i Group,1/1/1996,1996,1,Europe,17941,University of Texas Investment Management Company,15702,3585097.63,23451004.62,27266267,636.869365,0.838709677,24293150.54
5/31/2005,2005,2,20052,37,9,12773,3i UK Investment Partners,Venture Capital,3i Group,1/1/1996,1996,1,Europe,17941,University of Texas Investment Management Company,15702,3681555.81,23451004.62,27125292,636.869365,0.838709677,24299488.04
2/28/2005,2005,1,20051,36,9,12773,3i UK Investment Partners,Venture Capital,3i Group,1/1/1996,1996,1,Europe,17941,University of Texas Investment Management Company,15702,4484814.03,23451004.62,27066832,636.869365,0.838709677,24350163.66
11/30/2004,2004,4,20044,35,8,12773,3i UK Investment Partners,Venture Capital,3i Group,1/1/1996,1996,1,Europe,17941,University of Texas Investment Management Company,15702,6113479.76,23192439.12,24509711,636.869365,0.838709677,24343750.04
8/31/2004,2004,3,20043,34,8,12773,3i UK Investment Partners,Venture Capital,3i Group,1/1/1996,1996,1,Europe,17941,University of Texas Investment Management Company,15702,6536384.76,23192439.12,23864648,636.869365,0.838709677,24277049.16
5/31/2004,2004,2,20042,33,8,12773,3i UK Investment Partners,Venture Capital,3i Group,1/1/1996,1996,1,Europe,17941,University of Texas Investment Management Company,15702,6659294.83,23192439.12,23813057,636.869365,0.838709677,24295693.04
2/29/2004,2004,1,20041,32,8,12773,3i UK Investment Partners,Venture Capital,3i Group,1/1/1996,1996,1,Europe,17941,University of Texas Investment Management Company,15702,8499576.2,23192439.12,23613724,636.869365,0.838709677,24355580.37
11/30/2003,2003,4,20034,31,7,12773,3i UK Investment Partners,Venture Capital,3i Group,1/1/1996,1996,1,Europe,17941,University of Texas Investment Management Company,15702,7639462.36,23123161.62,23265200,636.869365,0.838709677,24259813.62
8/31/2003,2003,3,20033,30,7,12773,3i UK Investment Partners,Venture Capital,3i Group,1/1/1996,1996,1,Europe,17941,University of Texas Investment Management Company,15702,7640109.89,23118545.47,23136919,636.869365,0.838709677,24159827.47
5/31/2003,2003,2,20032,29,7,12773,3i UK Investment Partners,Venture Capital,3i Group,1/1/1996,1996,1,Europe,17941,University of Texas Investment Management Company,15702,8370612.7,23118545.47,23103668,636.869365,0.838709677,24198569.47
2/28/2003,2003,1,20031,28,7,12773,3i UK Investment Partners,Venture Capital,3i Group,1/1/1996,1996,1,Europe,17941,University of Texas Investment Management Company,15702,8117842,22978649,23020825,636.869365,0.838709677,24157949
11/30/2002,2002,4,20024,27,6,12773,3i UK Investment Partners,Venture Capital,3i Group,1/1/1996,1996,1,Europe,17941,University of Texas Investment Management Company,15702,9571565.9,22978649.47,21869517,636.869365,0.838709677,24141532.91
