Report Whole Date,Report Date YYYY,Report Date Q,Quarter Year Code Report Date,Quarters Since Close,Years Since Fund Close to Report Date,Fund ID,FundName,Fund Type,investor name,Fund Close Date,Fund Close YYYY,Fund Close Q,Global Region,LP beid,LP Name,FundLPID,Remaining Value,Contributed,Distributed,Fund Initial Amount,Consistency,Comitted
3/31/2015,2015,1,20151,36,9,10971,5AM Ventures II,Venture Capital,5AM Ventures,1/1/2006,2006,1,US,11994,California Public Employees Retirement System,103248,9279022,9920000,8429671,150,0.833333333,10000000
12/31/2014,2014,4,20144,35,8,10971,5AM Ventures II,Venture Capital,5AM Ventures,1/1/2006,2006,1,US,11994,California Public Employees Retirement System,103248,8946160,9800000,7446628,150,0.833333333,10000000
9/30/2014,2014,3,20143,34,8,10971,5AM Ventures II,Venture Capital,5AM Ventures,1/1/2006,2006,1,US,11994,California Public Employees Retirement System,103248,8661524,9670000,7446628,150,0.833333333,10000000
6/30/2014,2014,2,20142,33,8,10971,5AM Ventures II,Venture Capital,5AM Ventures,1/1/2006,2006,1,US,11994,California Public Employees Retirement System,103248,8851608,9495000,6307952,150,0.833333333,10000000
3/31/2014,2014,1,20141,32,8,10971,5AM Ventures II,Venture Capital,5AM Ventures,1/1/2006,2006,1,US,11994,California Public Employees Retirement System,103248,9154915,9495000,6307952,150,0.833333333,10000000
12/31/2013,2013,4,20134,31,7,10971,5AM Ventures II,Venture Capital,5AM Ventures,1/1/2006,2006,1,US,11994,California Public Employees Retirement System,103248,8437836,9385000,6307952,150,0.833333333,10000000
9/30/2013,2013,3,20133,30,7,10971,5AM Ventures II,Venture Capital,5AM Ventures,1/1/2006,2006,1,US,11994,California Public Employees Retirement System,103248,6983181,9385000,6307952,150,0.833333333,10000000
6/30/2013,2013,2,20132,29,7,10971,5AM Ventures II,Venture Capital,5AM Ventures,1/1/2006,2006,1,US,11994,California Public Employees Retirement System,103248,7006676,9385000,6307952,150,0.833333333,10000000
3/31/2013,2013,1,20131,28,7,10971,5AM Ventures II,Venture Capital,5AM Ventures,1/1/2006,2006,1,US,11994,California Public Employees Retirement System,103248,7434248,8920000,3074161,150,0.833333333,10000000
12/31/2012,2012,4,20124,27,6,10971,5AM Ventures II,Venture Capital,5AM Ventures,1/1/2006,2006,1,US,11994,California Public Employees Retirement System,103248,7641352,8920000,3074161,150,0.833333333,10000000
9/30/2012,2012,3,20123,26,6,10971,5AM Ventures II,Venture Capital,5AM Ventures,1/1/2006,2006,1,US,11994,California Public Employees Retirement System,103248,7787524,8920000,2852902,150,0.833333333,10000000
6/30/2012,2012,2,20122,25,6,10971,5AM Ventures II,Venture Capital,5AM Ventures,1/1/2006,2006,1,US,11994,California Public Employees Retirement System,103248,8126954,8920000,2681929,150,0.833333333,10000000
3/31/2012,2012,1,20121,24,6,10971,5AM Ventures II,Venture Capital,5AM Ventures,1/1/2006,2006,1,US,11994,California Public Employees Retirement System,103248,8208093,8920000,2681929,150,0.833333333,10000000
12/31/2011,2011,4,20114,23,5,10971,5AM Ventures II,Venture Capital,5AM Ventures,1/1/2006,2006,1,US,11994,California Public Employees Retirement System,103248,7840529,8340000,2681929,150,0.833333333,10000000
9/30/2011,2011,3,20113,22,5,10971,5AM Ventures II,Venture Capital,5AM Ventures,1/1/2006,2006,1,US,11994,California Public Employees Retirement System,103248,7260440,7850000,2681929,150,0.833333333,10000000
6/30/2011,2011,2,20112,21,5,10971,5AM Ventures II,Venture Capital,5AM Ventures,1/1/2006,2006,1,US,11994,California Public Employees Retirement System,103248,7301982,7850000,2681929,150,0.833333333,10000000
3/31/2011,2011,1,20111,20,5,10971,5AM Ventures II,Venture Capital,5AM Ventures,1/1/2006,2006,1,US,11994,California Public Employees Retirement System,103248,7509580,7850000,2681929,150,0.833333333,10000000
12/31/2010,2010,4,20104,19,4,10971,5AM Ventures II,Venture Capital,5AM Ventures,1/1/2006,2006,1,US,11994,California Public Employees Retirement System,103248,10235394,7850000,0,150,0.833333333,10000000
9/30/2010,2010,3,20103,18,4,10971,5AM Ventures II,Venture Capital,5AM Ventures,1/1/2006,2006,1,US,11994,California Public Employees Retirement System,103248,6827539,7740000,0,150,0.833333333,10000000
6/30/2010,2010,2,20102,17,4,10971,5AM Ventures II,Venture Capital,5AM Ventures,1/1/2006,2006,1,US,11994,California Public Employees Retirement System,103248,6699111,7115000,0,150,0.833333333,10000000
12/31/2009,2009,4,20094,15,3,10971,5AM Ventures II,Venture Capital,5AM Ventures,1/1/2006,2006,1,US,11994,California Public Employees Retirement System,103248,5802353,6150000,0,150,0.833333333,10000000
3/31/2009,2009,1,20091,12,3,10971,5AM Ventures II,Venture Capital,5AM Ventures,1/1/2006,2006,1,US,11994,California Public Employees Retirement System,103248,5291505,5550000,0,150,0.833333333,10000000
12/31/2008,2008,4,20084,11,2,10971,5AM Ventures II,Venture Capital,5AM Ventures,1/1/2006,2006,1,US,11994,California Public Employees Retirement System,103248,4331012,4530000,0,150,0.833333333,10000000
9/30/2008,2008,3,20083,10,2,10971,5AM Ventures II,Venture Capital,5AM Ventures,1/1/2006,2006,1,US,11994,California Public Employees Retirement System,103248,3299895,3500000,0,150,0.833333333,10000000
