19971,19972,19973,19974,19981,19982,19983,19984,19991,19992,19993,19994,20001,20002,20003,20004,20011,20012,20013,20014,20021,20022,20023,20024,20031,20032,20033,20034,20041,20042,20043,20044,20051,20052,20053,20054,20061,20062,20063,20064,20071,20072,20073,20074,20081,20082,20083,20084,20091,20092,20093,20094,20101,20102,20103,20104,20111,20112,20113,20114,20121,20122,20123,20124,20131,20132,20133,20134,20141,20142,20143,20144,20151,,,,,,20144,,20151,,,FundName,LPName,Last Date reported,3/31/2015,3/31/2015,,,,,,,,,,,,,,,,,
 '26928', '26770', '16533', '16533', '16533', '26948', '26948', '26948', '26948', '26948', '26948', '26948', '26948', '26948', '26948', '26948', '26948', '26948', '26948', '26948', '26948', '26948', '26948', '26948', '26948', '26948', '26948', '26948', '26948', '26948', '26948', '26948', '26948', '26948', '26948', '26948', '26948', '26948', '26948', '26948', '26948', '26948', '26948', '26948', '26948', '26948', '26948', '26948', '26948', '26948', '26948', '26948', '26948', '26948', '26948', '26948', '26948', '26948', '26948', '26948', '26948', '26948', '26948', '26948', '26948', '26948', '26948', '26948', '26948', '26948', '26948', '26948', '23997',,,,,,4958,1,4958,,,Lime Rock Partners II,California Public Employees Retirement System,6/30/2014,3.044444444,,,,,,,,,,,,,,,,,5499,
26413',23994',23994',23994',23994',23994',23994',23994',23994',23994',23994',23994',23994',23994',23994',23994',23994',23994',23994',23994',23994',23994',23994',23994',23994',23994',23994',23994',23994',23994',23994',23994',23994',23994',23994',23994',23994',23994',23994',23994',23994',23994',23994',23994',23994',23994',23994',23994',23994',23994',23994',23994',23994',23994',23994',23994',23994',23994',23994',23994',23994',23994',23994',23994',23994',23994',23994',23994',23994',23994',23994',23994',54608',,,,,,5079,1,5079,,,Carlyle Strategic Partners,California Public Employees Retirement System,12/31/2014,1,,,,,,,,,,,,,,,,,5566,"5499,5566"
, '16159', '26770', '26770', '26770', '26413', '26413', '16059', '16059', '16059', '16059', '16059', '16059', '16474', '16474', '16474', '16474', '16474', '16474', '16474', '16474', '16474', '16474', '16474', '16474', '16474', '16474', '16474', '16474', '16474', '16474', '16474', '16474', '16474', '16474', '16474', '16474', '28039', '28039', '23971', '23971', '23971', '23971', '27494', '27494', '27494', '23997', '23997', '23997', '23997', '23997', '23997', '23997', '23997', '23997', '23997', '23997', '23997', '23997', '23997', '23997', '23997', '23997', '54608', '54608', '54608', '54608', '54608', '54608', '54608', '54608', '54608', '27494',,,,,,5190,1,5190,,,Silver Lake Sumeru,California Public Employees Retirement System,9/30/2014,2.022222222,,,,,,,,,,,,,,,,,5570,"5499,5566,5570"
, '6460', '26413', '28302', '28302', '16277', '16277', '26413', '26413', '16336', '16336', '16336', '16336', '16059', '16059', '16059', '16059', '27888', '27888', '27888', '27888', '27888', '27888', '27888', '27888', '27888', '27888', '27888', '27888', '27888', '27888', '27888', '27888', '27888', '27888', '27888', '27888', '27494', '27494', '27494', '27494', '27494', '27494', '27888', '27888', '27888', '27494', '27494', '27494', '27494', '27494', '27494', '27494', '27494', '27494', '27494', '27494', '27494', '27494', '27494', '27494', '27494', '27494', '23997', '23997', '23997', '23997', '23997', '23997', '23997', '23997', '23997', '28238',,,,,,5195,1,5195,,,Avenue Special Situations Fund II,California Public Employees Retirement System,12/31/2010,17.23333333,,,,,,,,,,,,,,,,,6054,"5499,5566,5570,6054"
, '16107', '6460', '16159', '16159', '26928', '26928', '16277', '16277', '103101', '103101', '103101', '103101', '22112', '22112', '22112', '22112', '16277', '16277', '16277', '16277', '16277', '27740', '27740', '27740', '27880', '27880', '16470', '16470', '16470', '16470', '16470', '16470', '16470', '16470', '16470', '16470', '27888', '27888', '27888', '27888', '27888', '27888', '27883', '27883', '27883', '27888', '27888', '27888', '27888', '27888', '27888', '27888', '27888', '27888', '27888', '27888', '27888', '27888', '27888', '27888', '27888', '27888', '27494', '27494', '27494', '27494', '27494', '27494', '27494', '27494', '27494', '55341',,,,,,5409,1,5409,,,Silver Lake Partners I,California Public Employees Retirement System,12/31/2013,5.055555556,,,,,,,,,,,,,,,,,6326,"5499,5566,5570,6054,6326"
, '6336', '16107', '6460', '6460', '16629', '16629', '26928', '26928', '26413', '26413', '26413', '26413', '27888', '27888', '27888', '27888', '5079', '5079', '5079', '5079', '5079', '16277', '16277', '29192', '27740', '27740', '27880', '27880', '27880', '27880', '27880', '27880', '27880', '27880', '27880', '27880', '16470', '16470', '16470', '16470', '16470', '16470', '27880', '27880', '27880', '27883', '27883', '27883', '28238', '28238', '28238', '28238', '28238', '28238', '28238', '28238', '28238', '28238', '28238', '28238', '28238', '28238', '27888', '27888', '27888', '27888', '27888', '27888', '27888', '27888', '27888', '27880',,,,,,5415,1,5415,,,First Reserve Fund IX,California Public Employees Retirement System,12/31/2010,17.23333333,,,,,,,,,,,,,,,,,6336,"5499,5566,5570,6054,6326,6336"
, '21710', '6336', '28112', '28112', '25680', '25680', '16629', '16629', '16277', '16277', '16277', '16277', '15084', '11946', '11946', '11946', '15286', '15286', '15286', '15286', '15286', '5079', '5079', '16277', '29192', '29192', '27740', '27740', '27740', '27740', '27740', '27740', '27740', '27740', '27740', '27740', '16527', '16527', '16527', '16527', '16527', '16527', '13736', '13736', '13736', '27880', '27880', '27880', '27883', '27883', '27883', '27883', '27883', '27883', '27883', '27883', '27883', '27883', '27883', '54606', '54606', '54606', '28238', '28238', '28238', '28238', '28238', '28238', '28238', '28238', '28238', '28995',,,,,,5423,1,5423,,,Kayne Anderson Private Investors Mezzanine,California Public Employees Retirement System,12/31/2013,5.055555556,,,,,,,,,,,,,,,,,6442,"5499,5566,5570,6054,6326,6336,6442"
, '26413', '21710', '16107', '16107', '27648', '27648', '25680', '25680', '26928', '26928', '26928', '26928', '103101', '15084', '15084', '15084', '14984', '14984', '14984', '14984', '14982', '15286', '15286', '5079', '16277', '16277', '29192', '29192', '29192', '29192', '29192', '29192', '29192', '29192', '29192', '29192', '27880', '27880', '27880', '27880', '27883', '103098', '21562', '21562', '21562', '28995', '28995', '28995', '27880', '27880', '27880', '27880', '27880', '27880', '27880', '27880', '27880', '27880', '27880', '27883', '27883', '27883', '54606', '54606', '54606', '54606', '54606', '54606', '54606', '54606', '54606', '13736',,,,,,5491,1,5491,,,Hellman & Friedman Capital Partners IV,California Public Employees Retirement System,12/31/2012,9.111111111,,,,,,,,,,,,,,,,,6444,"5499,5566,5570,6054,6326,6336,6442,6444"
, '27321', '16159', '6336', '6336', '26600', '26600', '27648', '27648', '16629', '16629', '16629', '16629', '26413', '103101', '103101', '103101', '6472', '6472', '6472', '28053', '14984', '14982', '14982', '22885', '5079', '5079', '16277', '16277', '16277', '16277', '16277', '16277', '16277', '16277', '16277', '16277', '27740', '27740', '27740', '27740', '27880', '27883', '26473', '26473', '26473', '13736', '13736', '13736', '28995', '28995', '28995', '28995', '28995', '28995', '28995', '28995', '28995', '28995', '28995', '27880', '27880', '27880', '27883', '27883', '27883', '55341', '55341', '55341', '55341', '55341', '55341', '21562',,,,,,5499,0,5504,,,Spectrum Equity Investors IV,California Public Employees Retirement System,12/31/2014,1,,,,,,,,,,,,,,,,,6460,"5499,5566,5570,6054,6326,6336,6442,6444,6460"
, '26928', '27321', '21710', '21710', '28086', '28086', '26600', '26600', '26805', '26805', '26805', '26805', '16277', '26413', '26413', '26413', '103147', '103147', '103147', '6472', '28053', '14984', '14984', '15286', '22885', '15286', '5079', '5079', '5079', '5079', '5079', '5079', '5079', '5079', '5079', '5079', '29192', '29192', '29192', '29192', '27740', '27880', '14982', '14982', '14982', '21562', '21562', '21562', '13736', '13736', '13736', '13736', '13736', '13736', '13736', '13736', '13736', '13736', '13736', '28995', '28995', '28995', '27880', '27880', '27880', '27880', '27880', '27880', '27880', '27880', '27880', '26473',,,,,,5504,1,5571,,,Avenue Special Situations Fund III,California Public Employees Retirement System,3/31/2011,16.23333333,,,,,,,,,,,,,,,,,6461,"5499,5566,5570,6054,6326,6336,6442,6444,6460,6461"
